date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:08	16030/16030	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2006:46:09%20GMT	https://hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/?ad_id=120208847424410250&adset_id=120208847350700250&campaign_id=120208847350490250&ad_name=GIF+B&adset_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&campaign_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&source=fb&placement=Facebook_Desktop_Feed&pid=1578813526293580&cpid=893c0307-2654-4ab9-9870-396a5d2a33a2&lpid=4416fe61-a6ba-4182-8020-f9aa653ac4c8&fbclid=IwAR2W1DZRHCAn_-ADKi1ZCuifc07-KexJjF4zm5wFdNriBtSDLDBouLPrhkw_aem_AfJted9On23IIEUPkB9kgOkjQFmdo-YsN28R9stucCwsctXoiJsphenaqq7VPYnCtQTYtMwNkqCwkzPE-FjHzeCm	C:/Users/User/Music/MM88/SPINWHEEL/hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/indexcc1f.html	(from )
14:46:08	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20May%202024%2006:46:08%20GMT	https://hgsmaker.com/robots.txt		(from )
14:46:09	1345/1345	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22cb453f34e88215c7f4da626149c7152c%22	https://hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/images/favicon.ico	C:/Users/User/Music/MM88/SPINWHEEL/hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/images/favicon.ico	(from https://hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/?ad_id=120208847424410250&adset_id=120208847350700250&campaign_id=120208847350490250&ad_name=GIF+B&adset_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&campaign_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&source=fb&placement=Facebook_Desktop_Feed&pid=1578813526293580&cpid=893c0307-2654-4ab9-9870-396a5d2a33a2&lpid=4416fe61-a6ba-4182-8020-f9aa653ac4c8&fbclid=IwAR2W1DZRHCAn_-ADKi1ZCuifc07-KexJjF4zm5wFdNriBtSDLDBouLPrhkw_aem_AfJted9On23IIEUPkB9kgOkjQFmdo-YsN28R9stucCwsctXoiJsphenaqq7VPYnCtQTYtMwNkqCwkzPE-FjHzeCm)
14:46:09	194901/194901	---M-Z	200	added ('OK')	text/css	etag:W/%222f955-d5HdHzFzoNYsw5wh0q1x/I2tDnI%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	C:/Users/User/Music/MM88/SPINWHEEL/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	(from https://hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/?ad_id=120208847424410250&adset_id=120208847350700250&campaign_id=120208847350490250&ad_name=GIF+B&adset_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&campaign_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&source=fb&placement=Facebook_Desktop_Feed&pid=1578813526293580&cpid=893c0307-2654-4ab9-9870-396a5d2a33a2&lpid=4416fe61-a6ba-4182-8020-f9aa653ac4c8&fbclid=IwAR2W1DZRHCAn_-ADKi1ZCuifc07-KexJjF4zm5wFdNriBtSDLDBouLPrhkw_aem_AfJted9On23IIEUPkB9kgOkjQFmdo-YsN28R9stucCwsctXoiJsphenaqq7VPYnCtQTYtMwNkqCwkzPE-FjHzeCm)
14:46:09	6074/6074	---MCZ	200	added ('OK')	text/css	etag:W/%22e4b2af18aadceb4757b4b04b28843dbc%22	https://hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/styles/animation.css	C:/Users/User/Music/MM88/SPINWHEEL/hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/styles/animation.css	(from https://hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/?ad_id=120208847424410250&adset_id=120208847350700250&campaign_id=120208847350490250&ad_name=GIF+B&adset_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&campaign_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&source=fb&placement=Facebook_Desktop_Feed&pid=1578813526293580&cpid=893c0307-2654-4ab9-9870-396a5d2a33a2&lpid=4416fe61-a6ba-4182-8020-f9aa653ac4c8&fbclid=IwAR2W1DZRHCAn_-ADKi1ZCuifc07-KexJjF4zm5wFdNriBtSDLDBouLPrhkw_aem_AfJted9On23IIEUPkB9kgOkjQFmdo-YsN28R9stucCwsctXoiJsphenaqq7VPYnCtQTYtMwNkqCwkzPE-FjHzeCm)
14:46:10	558/558	---MCZ	200	added ('OK')	text/css	etag:W/%22c4ef8b1df173794f637f2fe9071e41b6%22	https://hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/styles/custom-styles.css	C:/Users/User/Music/MM88/SPINWHEEL/hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/styles/custom-styles.css	(from https://hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/?ad_id=120208847424410250&adset_id=120208847350700250&campaign_id=120208847350490250&ad_name=GIF+B&adset_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&campaign_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&source=fb&placement=Facebook_Desktop_Feed&pid=1578813526293580&cpid=893c0307-2654-4ab9-9870-396a5d2a33a2&lpid=4416fe61-a6ba-4182-8020-f9aa653ac4c8&fbclid=IwAR2W1DZRHCAn_-ADKi1ZCuifc07-KexJjF4zm5wFdNriBtSDLDBouLPrhkw_aem_AfJted9On23IIEUPkB9kgOkjQFmdo-YsN28R9stucCwsctXoiJsphenaqq7VPYnCtQTYtMwNkqCwkzPE-FjHzeCm)
14:46:10	23672/23672	---MCZ	200	added ('OK')	font/otf	etag:W/%228630ab7bfb83d703c9c4f670b2f88ad8%22	https://hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/styles/Futura-Medium.otf	C:/Users/User/Music/MM88/SPINWHEEL/hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/styles/Futura-Medium.otf	(from https://hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/?ad_id=120208847424410250&adset_id=120208847350700250&campaign_id=120208847350490250&ad_name=GIF+B&adset_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&campaign_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&source=fb&placement=Facebook_Desktop_Feed&pid=1578813526293580&cpid=893c0307-2654-4ab9-9870-396a5d2a33a2&lpid=4416fe61-a6ba-4182-8020-f9aa653ac4c8&fbclid=IwAR2W1DZRHCAn_-ADKi1ZCuifc07-KexJjF4zm5wFdNriBtSDLDBouLPrhkw_aem_AfJted9On23IIEUPkB9kgOkjQFmdo-YsN28R9stucCwsctXoiJsphenaqq7VPYnCtQTYtMwNkqCwkzPE-FjHzeCm)
14:46:10	319/319	---MCZ	200	added ('OK')	application/javascript	etag:W/%2219f-5f556160c19fb-gzip%22	https://zenacentre.com/backbutton/mb8mye/rolfix.js	C:/Users/User/Music/MM88/SPINWHEEL/zenacentre.com/backbutton/mb8mye/rolfix.js	(from https://hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/?ad_id=120208847424410250&adset_id=120208847350700250&campaign_id=120208847350490250&ad_name=GIF+B&adset_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&campaign_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&source=fb&placement=Facebook_Desktop_Feed&pid=1578813526293580&cpid=893c0307-2654-4ab9-9870-396a5d2a33a2&lpid=4416fe61-a6ba-4182-8020-f9aa653ac4c8&fbclid=IwAR2W1DZRHCAn_-ADKi1ZCuifc07-KexJjF4zm5wFdNriBtSDLDBouLPrhkw_aem_AfJted9On23IIEUPkB9kgOkjQFmdo-YsN28R9stucCwsctXoiJsphenaqq7VPYnCtQTYtMwNkqCwkzPE-FjHzeCm)
14:46:11	17268/17268	---MCZ	200	added ('OK')	font/otf	etag:W/%22315e1f0174ea1c127b9fc63b72e20918%22	https://hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/styles/Futura-Bold.otf	C:/Users/User/Music/MM88/SPINWHEEL/hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/styles/Futura-Bold.otf	(from https://hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/?ad_id=120208847424410250&adset_id=120208847350700250&campaign_id=120208847350490250&ad_name=GIF+B&adset_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&campaign_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&source=fb&placement=Facebook_Desktop_Feed&pid=1578813526293580&cpid=893c0307-2654-4ab9-9870-396a5d2a33a2&lpid=4416fe61-a6ba-4182-8020-f9aa653ac4c8&fbclid=IwAR2W1DZRHCAn_-ADKi1ZCuifc07-KexJjF4zm5wFdNriBtSDLDBouLPrhkw_aem_AfJted9On23IIEUPkB9kgOkjQFmdo-YsN28R9stucCwsctXoiJsphenaqq7VPYnCtQTYtMwNkqCwkzPE-FjHzeCm)
14:46:11	231/231	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2016%20May%202024%2006:46:12%20GMT	https://facket-openting.com/d/893c0307-2654-4ab9-9870-396a5d2a33a2.js	C:/Users/User/Music/MM88/SPINWHEEL/facket-openting.com/d/893c0307-2654-4ab9-9870-396a5d2a33a2.7.delayed	(from https://hgsmaker.com/01455-why-you-shouldnt-add-yeast-to-mashed-potatoes01/?ad_id=120208847424410250&adset_id=120208847350700250&campaign_id=120208847350490250&ad_name=GIF+B&adset_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&campaign_name=MBAFFMYE956_MB8_MY_ABO_ABI_893c0307-2654-4ab9-9870-396a5d2a33a2&source=fb&placement=Facebook_Desktop_Feed&pid=1578813526293580&cpid=893c0307-2654-4ab9-9870-396a5d2a33a2&lpid=4416fe61-a6ba-4182-8020-f9aa653ac4c8&fbclid=IwAR2W1DZRHCAn_-ADKi1ZCuifc07-KexJjF4zm5wFdNriBtSDLDBouLPrhkw_aem_AfJted9On23IIEUPkB9kgOkjQFmdo-YsN28R9stucCwsctXoiJsphenaqq7VPYnCtQTYtMwNkqCwkzPE-FjHzeCm)
